Category,City,Company,Zipcode,Phone,State,Street,Address,SearchTerm,Website
Real Estate Agency, Sunnyvale,Phoenix Real Estate Investment Corporation,94086,+1 408-636-2100,CA,1202 Kifer Rd,"1202 Kifer Rd, Sunnyvale, CA 94086, United States","real estate investors, Sunnyvale, California",http://www.phoenixreic.com/
Real Estate Agency, Santa Clara,Elim Investment Company,95051,+1 408-365-0365,CA,2904 El Camino Real,"2904 El Camino Real, Santa Clara, CA 95051, United States","real estate investors, Sunnyvale, California",
Real Estate, Sunnyvale,Carmel Partners,94086,+1 408-481-9195,CA,360 Altair Way,"360 Altair Way, Sunnyvale, CA 94086, United States","real estate investors, Sunnyvale, California",http://carmelpartners.com/
Real Estate Agency, Cupertino,First Statewide Realty,95014,+1 408-253-1000,CA,20045 Stevens Creek Blvd #2d,"20045 Stevens Creek Blvd #2d, Cupertino, CA 95014, United States","real estate investors, Sunnyvale, California",http://www.firststatewiderealty.com/
Real Estate Agency, CA 95054,Shorenstein,States,+1 415-772-7000,United,Santa Clara,"Santa Clara, CA 95054, United States","real estate investors, Sunnyvale, California",http://shorenstein.com/
Real Estate Agency, CA 95054,Shorenstein,States,+1 415-772-7000,United,Santa Clara,"Santa Clara, CA 95054, United States","real estate investors, Sunnyvale, California",http://shorenstein.com/
Real Estate Agency, CA 95054,Shorenstein,States,+1 415-772-7000,United,Santa Clara,"Santa Clara, CA 95054, United States","real estate investors, Sunnyvale, California",http://shorenstein.com/
Mortgage Lender, San Jose,Stonecrest Financial,95129,+1 408-557-0700,CA,4300 Stevens Creek Blvd #275,"4300 Stevens Creek Blvd #275, San Jose, CA 95129, United States","real estate investors, Sunnyvale, California",http://stonecrestfinancial.net/
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Real Estate Consultant, San Diego,Gabhart Investments,92130,+1 858-356-5973,CA,12780 High Bluff Dr,"12780 High Bluff Dr, San Diego, CA 92130, United States","real estate investors, Escondido, California",http://gabhartinvestments.com/
Real Estate Agency, San Diego,Alliance Real Estate Investment,92121,+1 858-909-9017,CA,11011 Torreyana Rd,"11011 Torreyana Rd, San Diego, CA 92121, United States","real estate investors, Escondido, California",
Real Estate Agency, Encinitas,"The Arendsen Group, Real Estate Sales & Investments",92024,+1 888-503-3117,CA,1900 N Coast Hwy 101,"1900 N Coast Hwy 101, Encinitas, CA 92024, United States","real estate investors, Escondido, California",http://www.sandiegorealestatetoday.com/
Category,City,Company,Zipcode,Phone,State,Street,Address,SearchTerm,Website
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Real Estate Agency, Chicago,Intercontinental Real Estate Corporation,60611,+1 312-329-2504,IL,322 E Illinois St,"322 E Illinois St, Chicago, IL 60611, United States","real estate investors, Chicago, Illinois",http://www.intercontinental.net/
Educational Institution, Chicago,CCIM Institute,60611,+1 312-321-4460,IL,430 N Michigan Ave,"430 N Michigan Ave, Chicago, IL 60611, United States","real estate investors, Chicago, Illinois",http://www.ccim.com/
,,,,,,,,,
,,,,,,,,,
Insurance Agency, Chicago,Midwest Real Estate Investment,60602,+1 312-346-5486,IL,120 N LaSalle St # 1350,"120 N LaSalle St # 1350, Chicago, IL 60602, United States","real estate investors, Chicago, Illinois",
Real Estate Developer, Chicago,Newcastle Ltd,60601,+1 312-252-1400,IL,150 N Michigan Ave #3610,"150 N Michigan Ave #3610, Chicago, IL 60601, United States","real estate investors, Chicago, Illinois",http://www.newcastlelimited.com/
Real Estate Consultant, Chicago,Laura Al-Amery,60647,+1 314-301-9594,IL,1658 N Milwaukee Ave #100,"1658 N Milwaukee Ave #100, Chicago, IL 60647, United States","real estate investors, Chicago, Illinois",http://www.lauraalamery.com/
Real Estate Consultant, Chicago,Laura Al-Amery,60647,+1 314-301-9594,IL,1658 N Milwaukee Ave #100,"1658 N Milwaukee Ave #100, Chicago, IL 60647, United States","real estate investors, Chicago, Illinois",http://www.lauraalamery.com/
Real Estate Consultant, Chicago,Laura Al-Amery,60647,+1 314-301-9594,IL,1658 N Milwaukee Ave #100,"1658 N Milwaukee Ave #100, Chicago, IL 60647, United States","real estate investors, Chicago, Illinois",http://www.lauraalamery.com/
Real Estate Consultant, Chicago,Laura Al-Amery,60647,+1 314-301-9594,IL,1658 N Milwaukee Ave #100,"1658 N Milwaukee Ave #100, Chicago, IL 60647, United States","real estate investors, Chicago, Illinois",http://www.lauraalamery.com/
Real Estate Consultant, Chicago,Laura Al-Amery,60647,+1 314-301-9594,IL,1658 N Milwaukee Ave #100,"1658 N Milwaukee Ave #100, Chicago, IL 60647, United States","real estate investors, Chicago, Illinois",http://www.lauraalamery.com/
Investment Bank, Houston,Realty Investment Club of Houston,77092,+1 713-947-7424,TX,4220 Lockfield St,"4220 Lockfield St, Houston, TX 77092, United States","real estate investors, Houston, Texas",http://www.richclub.org/
Real Estate Consultant, Houston,Education and Mentor Club for Real Estate Investing,77042,+1 713-978-6565,TX,11200 Westheimer Rd #1000,"11200 Westheimer Rd #1000, Houston, TX 77042, United States","real estate investors, Houston, Texas",http://www.lifestylesunlimited.com/
Real Estate Agency, TX 77035,Thomson Real Estate Investors,States,+1 713-806-1596,United,Houston,"Houston, TX 77035, United States","real estate investors, Houston, Texas",http://thomsonrealestateinvestors.com/
Investment Service, Houston,JP and Company Real Estate Investors llc,77070,+1 832-447-4663,TX,11600 Jones Rd #108,"11600 Jones Rd #108, Houston, TX 77070, United States","real estate investors, Houston, Texas",
Property Management Company, Houston,Texas Turnkey Properties,77070,+1 281-894-1800,TX,8203 Willow Pl Dr S,"8203 Willow Pl Dr S, Houston, TX 77070, United States","real estate investors, Houston, Texas",http://texasturnkeyproperties.com/
Real Estate Developer, Houston,Weingarten Realty,77008,+1 713-866-6000,TX,2600 Citadel Plaza Dr # 125,"2600 Citadel Plaza Dr # 125, Houston, TX 77008, United States","real estate investors, Houston, Texas",http://www.weingarten.com/
Real Estate Consultant, Houston,ML Deer Construction - Capital Real Estate Investments,77055,+1 713-681-1100,TX,7720 Westview Dr,"7720 Westview Dr, Houston, TX 77055, United States","real estate investors, Houston, Texas",http://www.mldeer.com/
Real Estate Agency, Houston,Lawford Real Estate Investments,77057,+1 713-532-5700,TX,2702 Briargrove Dr,"2702 Briargrove Dr, Houston, TX 77057, United States","real estate investors, Houston, Texas",
Property Management Company, TX 77055,First Cornerstone Group Real Estate Investments,States,+1 713-476-0102,United,Houston,"Houston, TX 77055, United States","real estate investors, Houston, Texas",http://www.apartmentwealthinfo.com/
Assisted Living Facility, Houston,Seniors Housing/ Healthcare Investment Brokerage,77056,+1 713-452-4268,TX,777 Post Oak Blvd #900,"777 Post Oak Blvd #900, Houston, TX 77056, United States","real estate investors, Houston, Texas",http://www.marcusmillichap.com/
Housing Development, Houston,365TexasRealEstate.com,77056,+1 713-620-8536,TX,5100 Westheimer Rd #200f,"5100 Westheimer Rd #200f, Houston, TX 77056, United States","real estate investors, Houston, Texas",http://www.365texasrealestate.com/
Commercial Real Estate Agency, Houston,Lionstone Group,77007,+1 713-533-5860,TX,100 Waugh Dr # 600,"100 Waugh Dr # 600, Houston, TX 77007, United States","real estate investors, Houston, Texas",http://lionstoneinvestments.com/
Property Management Company, Houston,Silvestri Investments,77055,+1 713-785-6272,TX,1215 Gessner Rd,"1215 Gessner Rd, Houston, TX 77055, United States","real estate investors, Houston, Texas",http://silvestriusa.com/
Real Estate Agency, Houston,Weingarten Realty Investors,77019,+1 713-520-4548,TX,1973 W Gray St,"1973 W Gray St, Houston, TX 77019, United States","real estate investors, Houston, Texas",http://www.weingarten.com/
Real Estate Agency, Houston,Weingarten Realty Investors,77055,+1 713-861-7772,TX,1190 West Loop N,"1190 West Loop N, Houston, TX 77055, United States","real estate investors, Houston, Texas",http://www.weingarten.com/
Property Management Company, Houston,"Juniper Investment Group, Ltd.",77027,+1 713-972-9302,TX,1001 West Loop S #625,"1001 West Loop S #625, Houston, TX 77027, United States","real estate investors, Houston, Texas",http://www.juniperinvestmentgroup.com/
Real Estate Consultant, TX 77040,Criswell Investments,States,+1 281-979-9072,United,Houston,"Houston, TX 77040, United States","real estate investors, Houston, Texas",http://www.quicksaleinhoustontx.com/
Real Estate Developer, Houston,Aron Development & Investment,77024,+1 713-963-8200,TX,109 N Post Oak Ln # 550,"109 N Post Oak Ln # 550, Houston, TX 77024, United States","real estate investors, Houston, Texas",
Investment Service, Houston,Markman Brothers Investments,77098,+1 713-524-0401,TX,1925 Southwest Fwy,"1925 Southwest Fwy, Houston, TX 77098, United States","real estate investors, Houston, Texas",
Category,City,Company,Zipcode,Phone,State,Street,Address,SearchTerm,Website
Real Estate Agency, New York,Real Estate Investors Association New York City,10018,+1 646-278-6724,NY,1375 Broadway,"1375 Broadway, New York, NY 10018, United States","real estate investors, New York, New York",http://www.reianyc.org/
Real Estate Agency, New York,Real Estate Investors Association New York City,10018,+1 646-278-6724,NY,1375 Broadway,"1375 Broadway, New York, NY 10018, United States","real estate investors, New York, New York",http://www.reianyc.org/
Real Estate Agency, New York,Real Estate Investors Association New York City,10018,+1 646-278-6724,NY,1375 Broadway,"1375 Broadway, New York, NY 10018, United States","real estate investors, New York, New York",http://www.reianyc.org/
Real Estate Agency, New York,Real Estate Investors Association New York City,10018,+1 646-278-6724,NY,1375 Broadway,"1375 Broadway, New York, NY 10018, United States","real estate investors, New York, New York",http://www.reianyc.org/
