Category,City,Company,Zipcode,Phone,State,Street,Address,Website
Construction Company, New York,Plaza Construction,10018,(212) 849-4800,NY,1065 Ave of the Americas #7,"1065 Ave of the Americas #7, New York, NY 10018",http://www.plazaconstruction.com/
Construction Company, New York,"Gotham Construction Company, LLC",10018,(212) 599-0520,NY,1010 Avenue of the Americas #4,"1010 Avenue of the Americas #4, New York, NY 10018",http://www.gothamconstruction.com/
Construction Company, 140 W 31st St,Yorke Construction Corporation,York,(212) 564-8467,New,4,"4, 140 W 31st St, New York, NY 10023",http://www.yorkeconstruction.com/
Construction Company, New York,IBEX Construction,10004,(646) 366-6200,NY,1 Whitehall St,"1 Whitehall St, New York, NY 10004",http://www.ibexconstruction.com/
General Contractor, New York,ACC Construction Corporation,10016,(212) 686-9331,NY,6 E 32nd St #7,"6 E 32nd St #7, New York, NY 10016",http://www.acc-construction.com/
General Contractor, New York,Holt Construction Corporation,10001,(212) 391-0424,NY,875 Ave of the Americas # 1001,"875 Ave of the Americas # 1001, New York, NY 10001",http://holtcc.com/
General Contractor, New York,Duce Construction Corporation,10027,(212) 316-2400,NY,412 W 127th St,"412 W 127th St, New York, NY 10027",http://www.ducecc.com/
Construction Company, New York,Triton Construction,10011,(212) 206-9193,NY,508 W 24th St,"508 W 24th St, New York, NY 10011",http://www.tritonconstruction.net/
General Contractor, New York,Titanium Construction Corporation,10001,(212) 986-4753,NY,247 W 30th St # 6W,"247 W 30th St # 6W, New York, NY 10001",http://www.titaniumcs.com/
General Contractor, New York,Excel Interior Construction,10018,(212) 627-6319,NY,307 W 38th St #1501,"307 W 38th St #1501, New York, NY 10018",http://www.excelinteriorny.com/
General Contractor, New York,JRM Construction,10018,(212) 545-0500,NY,242 W 36th St,"242 W 36th St, New York, NY 10018",http://www.jrmcm.com/
Builder, New York,Americon Construction,10011,(212) 274-0199,NY,44 W 18th St #6,"44 W 18th St #6, New York, NY 10011",http://www.americoninc.com/
Corporate Campus, New York,Gilbane Building Company,10005,(212) 312-1600,NY,88 Pine St,"88 Pine St, New York, NY 10005",http://gilbaneco.com/
Construction Company, New York,Henegan Construction Co Inc,10001,(212) 947-6441,NY,250 W 30th St,"250 W 30th St, New York, NY 10001",http://www.henegan.com/
Association or Organization, New York,New York Building Congress,10001,(646) 502-4174,NY,44 W 28th St,"44 W 28th St, New York, NY 10001",http://www.buildingcongress.com/
Dry Wall Contractor, New York,Eurotech Construction,10020,(212) 594-7474,NY,135 W 50th St,"135 W 50th St, New York, NY 10020",http://eurotechny.com/
General Contractor, New York,Ryder Construction Inc,10018,(212) 465-8700,NY,519 8th Ave #16,"519 8th Ave #16, New York, NY 10018",http://www.ryderconstruction.com/
General Contractor, New York,Tri-Star Construction Inc,10065,(212) 486-0808,NY,770 Lexington Ave # 13,"770 Lexington Ave # 13, New York, NY 10065",http://www.tristarconstruction.com/
Construction Company, New York,Wonder Works Construction Corporation,10001,(212) 465-8455,NY,894 Ave of the Americas #4,"894 Ave of the Americas #4, New York, NY 10001",http://www.wonderworkscorp.com/
